name_csc,name_lit,ra_csc,dec_csc,Class,Subclass,ref,Cluster,HST_Counterpart,HUGS_Counterpart,F_b,F_h,F_m,F_s,L_b,L_h,L_m,L_s,P_inter,P_intra,Class,F555W_abs,F625W_abs,F656N_abs,F658N_abs,F555W-F625W,F625W-F658N,F275W_h_abs,F336W_h_abs,F438W_h_abs,F606W_h_abs,F814W_h_abs,F275W-F336W,F336W-F438W,F438W-F606W,F606W-F814W
2CXO J002406.7-720406,74,6.027965409556941,-72.06858279656045,MSP,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,8.185315419165402e-16,,1.6486817995056e-16,6.708537756755401e-16,1.9836367904091192e+30,,3.995430482153219e+29,1.6257531472752368e+30,0.79111209817789,0.33070405119817,MSP,,,,,,,,,,,,,,,
2CXO J002431.8-720538,181,6.132549261300255,-72.09392878051025,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,7.7110630678466e-16,4.2561239207793e-16,1.8840818799522003e-16,9.541676572773399e-17,1.86870604384176e+30,1.031432945641936e+30,4.5659011801373336e+29,2.3123385871754213e+29,0.48463313225609,0.5153221249840401,none,,,,,,,,,,,,,,,
2CXO J002358.7-720436,321,5.994681240929481,-72.07667450798536,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,2.3129551359664e-16,1.8407801701405e-16,3.8889480364899e-17,9.1630649380933e-17,5.605236533128605e+29,4.460963422370553e+29,9.42451207574508e+28,2.220585498947459e+29,0.54550562456731,0.16100808510325,none,,,,,,,,,,,,,,,
2CXO J002424.6-720500,216,6.102713467395461,-72.08339507516176,AB,BYDra,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,yes,8.561742814923e-17,0.0,,1.2053971627658e-16,2.0748605481881207e+29,0.0,,2.9211704579135343e+29,,0.2885879969341099,AB,7.027938056733635,,,,,,,8.625937431123283,8.261837431123283,6.678437431123285,5.610537431123284,,0.3641000000000005,1.5833999999999977,1.0679000000000016
2CXO J002407.7-720527,21,6.032446829968478,-72.09092605983676,none,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,4.5606412333895e-15,2.0355176077172007e-15,1.2123658783427e-15,1.7125106392772e-15,1.1052299484056606e+31,4.932891901440121e+30,2.938058506684226e+30,4.150113873539234e+30,0.99996835113025,1.0,none,7.623937431123284,7.303937431123284,,7.023937431123283,0.3200000000000003,0.2800000000000011,8.221737431123284,7.691537431123283,8.022237431123283,7.525537431123283,7.0546374311232825,0.5302000000000007,-0.3307000000000002,0.4967000000000006,0.4709000000000003
2CXO J002408.6-720449,260,6.036146924381512,-72.080440834412,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,4.0170331768309e-16,1.2617346888868e-16,9.159772015075e-17,2.4813564762083004e-16,9.734914770906004e+29,3.0576993315994363e+29,2.2197874889854005e+29,6.013341874159063e+29,0.58584878495599,0.2882915845029,none,,,,,,,,,,,,,,,
2CXO J002410.0-720451,257,6.041723125539477,-72.08104081678589,AB,WUma,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,no,3.6395786748175004e-16,1.2657382878033e-16,1.3534730874182002e-16,1.6789519356215e-16,8.82018809446514e+29,3.067401689661554e+29,3.280019001766348e+29,4.0687874055890585e+29,0.60501209445276,0.3047122856248599,AB,3.387936759736565,,,,,,7.567237431123285,6.282337431123285,6.260837431123285,5.363737431123283,4.772137431123284,1.2849000000000004,0.0214999999999996,0.8971000000000018,0.5915999999999997
2CXO J002418.4-720334,229,6.077051104732789,-72.05968511991627,CV?,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,no,4.575809415041401e-16,2.7077921510284003e-16,6.7168023137408e-17,1.141803212784e-16,1.1089058193559564e+30,6.562088149937968e+29,1.627755987538947e+29,2.7670563005825047e+29,0.9999985889021,0.982495009604787,CV?,,,,,,,7.836937431123285,6.661537431123286,6.496337431123283,5.645437431123284,4.949137431123283,1.1753999999999998,0.1652000000000022,0.8508999999999993,0.6963000000000008
2CXO J002405.1-720435,290,6.021289436948564,-72.0764719239006,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,2.7383148856175002e-15,9.6620013742696e-16,4.7966351191617e-16,1.0225319199104001e-15,6.63605722281336e+30,2.341498209111025e+30,1.1624209215272653e+30,2.4780131636133764e+30,0.46715765936012,1.0,none,,,,,,,,,,,,,,,
2CXO J002409.2-720428,13,6.038333297349425,-72.07468494375856,MSP,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,6.610445597549e-16,,2.3633824690744e-16,4.575943426170101e-16,1.6019814041122442e+30,,5.727442591261724e+29,1.1089382957348862e+30,0.96981229895403,0.4999851138161,MSP,,,,,,,,,,,,,,,
2CXO J002407.1-720545,25,6.029840682127201,-72.09606219377443,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,2.3693843100523e-14,1.4886172115319e-14,4.4628000729694e-15,5.523167692607901e-15,5.741987507326988e+31,3.607528502465449e+31,1.0815190325170437e+31,1.3384894867952662e+31,0.6205555136781,1.0,CV,8.053937431123284,6.353937431123285,,5.623937431123284,1.6999999999999993,0.7300000000000004,6.427337431123284,7.273437431123284,6.889337431123284,6.511337431123284,6.083637431123282,-0.8460999999999999,0.3841000000000001,0.3780000000000001,0.4277000000000015
2CXO J002428.9-720256,160,6.120742393484818,-72.04905217498057,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.0624674034916e-15,4.9508477557026e-16,2.1776768517196003e-16,4.9348608120106e-16,2.574793178087791e+30,1.1997929522583314e+30,5.277401907541585e+29,1.1959186617698553e+30,0.60190221785016,0.5073775888727,none,,,,,,,,,,,,,,,
2CXO J002409.8-720359,11,6.041039197837563,-72.06657896018946,MSP,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,no,1.1684877408981e-15,3.9374571447174005e-16,2.9956704390696004e-16,5.5564750874918e-16,2.831723828944206e+30,9.542069490239704e+29,7.259735013956733e+29,1.3465612311937398e+30,0.85134671394674,0.76716003469204,MSP,7.533937431123284,7.553937431123284,,7.573937431123284,-0.0199999999999995,-0.0199999999999995,9.847637431123283,7.626537431123285,7.254637431123285,6.109137431123283,5.307937431123285,2.2211,0.3719000000000001,1.145500000000002,0.8011999999999979
2CXO J002416.5-720425,104,6.068862889428544,-72.07366168165362,MSP,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,no,6.967653887716602e-16,0.0,1.6620550361977e-16,4.992486874717402e-16,1.6885475863459197e+30,0.0,4.027839305699818e+29,1.2098838142677032e+30,0.53350981422994,0.3258238937391899,MSP,,10.333937431123283,,9.663937431123284,,0.6700000000000017,,13.390437431123283,12.804937431123284,10.287237431123284,8.693737431123285,,0.5854999999999997,2.5177000000000014,1.5934999999999988
2CXO J002405.2-720315,288,6.021909803608935,-72.05442390114281,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,2.4676318117394e-16,6.4420383492906e-17,4.906537544643e-17,1.0761741362975e-16,5.980081397338847e+29,1.5611694382551011e+29,1.1890547753711202e+29,2.608010199152647e+29,,0.34341433416689,none,,,,,,,,,,,,,,,
2CXO J002353.9-720350,125,5.975013001609,-72.06393316127212,qLMXB?,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,1.6350150319089998e-14,4.8693923574265e-15,2.934155692198e-15,9.0825569208838e-15,3.9623103131404153e+31,1.1800529768849238e+31,7.110659616371562e+30,2.2010751127642057e+31,0.99999998108161,0.9985574528408542,qLMXB?,,,,,,,,,,,,,,,
2CXO J002409.5-720504,12,6.039768677481504,-72.08465956297117,AB,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,main,yes,4.6456245448164e-16,1.5721881368501003e-16,1.0991477915754e-16,3.121135431727e-16,1.1258248814637668e+30,3.810055043692639e+29,2.663684764500144e+29,7.563788019367983e+29,0.92719912546832,0.1854644393311,AB,5.693937431123285,,,,,,6.537437431123284,5.4969374311232855,5.568837431123285,4.842437431123283,4.276837431123283,1.040499999999998,-0.0718999999999994,0.7264000000000017,0.5655999999999999
